1,0 
2,0 
3,0 
4,334.1065042755172 
5,336.51808905691047 
6,337.7283143253782 
7,336.7864135016394 
8,335.78177234242355 
9,333.3352160929967 
10,328.9737981294732 
11,321.66842721634873 
12,308.0112932799075 
13,274.68130004439837 
14,259.42398789060906 
15,244.3560187397899 
16,0 
17,0 
18,0 
19,0 
20,0 
21,0 
22,0 
23,0 
24,0 
25,0 
26,0 
27,0 
28,0 
29,307.6811081304716 
30,305.6178237102729 
31,315.9721435241371 
32,328.5101067922764 
33,337.4811788581242 
34,341.5480005383426 
35,341.9251889705308 
36,341.0060022209532 
37,339.0744974950438 
38,337.9614435294606 
39,335.92893595134245 
40,333.3166893616096 
41,332.90419937621033 
42,333.32473228196744 
43,329.69629470588666 
44,320.38757328586786 
45,317.15190325654675 
46,315.0192246215942 
47,312.0148905046475 
48,308.7824779439813 
49,307.3789119653446 
50,305.8081323771926 
51,303.6958478058271 
52,301.7249958052812 
53,300.5619438898561 
54,298.53274227011997 
55,296.3025738501273 
56,295.1999880167651 
57,294.0134028616237 
58,292.0109762841371 
59,289.9974115111349 
60,287.6780202770752 
61,279.96775145286216 
62,254.6215849271644 
63,0 
64,0 
65,0 
66,0 
67,0 
68,0 
69,0 
70,0 
71,0 
72,0 
73,0 
74,0 
75,0 
76,0 
77,357.29088398278475 
78,353.6455509046819 
79,356.12251828895313 
80,359.46388735831107 
81,360.24559995499 
82,361.1591054107496 
83,363.8679512452915 
84,367.3481500791503 
85,372.3278305230778 
86,378.8268116263512 
87,374.55303483614176 
88,361.0951048678597 
89,0 
90,0 
91,0 
92,0 
93,0 
94,0 
95,0 
96,0 
