1,0 
2,0 
3,0 
4,0 
5,0 
6,263.9186079843021 
7,260.69308157427497 
8,257.38447707292465 
9,255.23581488484925 
10,252.4425533149743 
11,250.10517169322299 
12,245.92700932755344 
13,241.82230458199794 
14,239.12294230725976 
15,213.06572677102443 
16,212.59805481316212 
17,0 
18,0 
19,0 
20,0 
21,0 
22,0 
23,0 
24,0 
25,0 
26,0 
27,0 
28,0 
29,0 
30,0 
31,0 
32,0 
33,0 
34,0 
35,0 
36,0 
37,0 
38,0 
39,0 
40,0 
41,0 
42,0 
43,0 
44,0 
45,0 
46,0 
47,0 
48,266.1531436896703 
49,260.2054086936875 
50,256.42665653639943 
51,253.96401207331738 
52,251.3964980283869 
53,249.14411908360253 
54,245.10235303415513 
55,0 
56,0 
57,0 
58,0 
59,0 
60,0 
